Study_ID,Study,DOI,Year,Dimensao,Dimensao_Label,Proxy,n_T,m_T,sd_T,n_C,m_C,sd_C,Tipo_Intervencao,Regiao,Tipo_Comunidade,NOS,Tier,lnRR,vi,sigma_conv
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
9,Latorre E.C.,10.15451/ec2018-03-07.04-1-34,2018,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V3,Status de Documentação,Agricultural production indicator,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
10,Mobarak C.,10.1659/mrd.2024.00024,2025,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
11,Andreotti F.,10.1007/s13593-023-00891-y,2023,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T2b,-0.369843,0.039027,0.25
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T2b,-0.680428,0.132098,0.25
12,Suwardi A.B.,10.1016/j.ecofro.2025.10.014,2025,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T3,0.0,3.692877,0.35
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V3,Status de Documentação,Food security / dietary diversity indicator,30,,,30,,,,,,,T3,0.0,3.692877,0.35
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T3,0.0,3.692877,0.35
13,Plieninger T.,10.1007/s11625-022-01155-6,2023,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T3,0.0,3.692877,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V3,Status de Documentação,Food security / dietary diversity indicator,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T3,0.182322,0.691658,0.35
14,Oloriz C.,10.3390/SU12187320,2020,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T3,0.470004,1.229614,0.35
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.470004,2.053921,0.5
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
15,Tran T.A.,10.1007/s13280-025-02172-2,2025,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.470004,2.053921,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,0.0,6.168503,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
16,Saiba Y.,10.13057/biodiv/d240861,2023,V5,Organização Social e Governança,Governanca/Resiliencia,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V3,Status de Documentação,Livelihood diversity index,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
17,Vázquez-Delfin P.,10.1016/j.heliyon.2022.e09805,2022,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T4,0.470004,2.053921,0.5
18,Nord A.,10.1002/ldr.3582,2020,V2,Complexidade e Singularidade Biocultural,Farmer knowledge network (cross-site),30,,,30,,,,,,,T2b,0.0,0.007916,0.25
